[18/Mar/2024:22:51:33 +0000] - - 403 - GET https portainer.xenlor.com "/robots.txt" [Client 66.249.66.67] [Length 122] [Gzip 1.35] [Sent-to 192.168.1.10] "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "-"
[20/Mar/2024:11:45:54 +0000] - 200 200 - GET https portainer.xenlor.com "/api/endpoints?limit=1&sort=&order=asc&excludeSnapshots=true" [Client 192.168.1.1] [Length 1567] [Gzip -] [Sent-to 192.168.1.10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0" "https://portainer.xenlor.com/"
[20/Mar/2024:11:45:54 +0000] - 200 200 - GET https portainer.xenlor.com "/api/users/1" [Client 192.168.1.1] [Length 159] [Gzip -] [Sent-to 192.168.1.10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0" "https://portainer.xenlor.com/"
[20/Mar/2024:11:45:54 +0000] - 200 200 - GET https portainer.xenlor.com "/api/endpoints/agent_versions" [Client 192.168.1.1] [Length 3] [Gzip -] [Sent-to 192.168.1.10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0" "https://portainer.xenlor.com/"
[20/Mar/2024:11:45:54 +0000] - 200 200 - GET https portainer.xenlor.com "/api/settings/public" [Client 192.168.1.1] [Length 435] [Gzip -] [Sent-to 192.168.1.10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0" "https://portainer.xenlor.com/"
[20/Mar/2024:11:45:54 +0000] - 200 200 - GET https portainer.xenlor.com "/api/endpoint_groups" [Client 192.168.1.1] [Length 201] [Gzip -] [Sent-to 192.168.1.10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0" "https://portainer.xenlor.com/"
[20/Mar/2024:11:45:54 +0000] - 200 200 - GET https portainer.xenlor.com "/api/tags" [Client 192.168.1.1] [Length 3] [Gzip -] [Sent-to 192.168.1.10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0" "https://portainer.xenlor.com/"
[20/Mar/2024:11:45:54 +0000] - 200 200 - GET https portainer.xenlor.com "/api/endpoints?start=1&limit=10&order=asc&search=&provisioned=true&tagsPartialMatch=true&updateInformation=false" [Client 192.168.1.1] [Length 65327] [Gzip -] [Sent-to 192.168.1.10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0" "https://portainer.xenlor.com/"
[20/Mar/2024:11:45:54 +0000] - 200 200 - GET https portainer.xenlor.com "/api/settings/public" [Client 192.168.1.1] [Length 435] [Gzip -] [Sent-to 192.168.1.10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0" "https://portainer.xenlor.com/"
[20/Mar/2024:11:45:54 +0000] - 200 200 - GET https portainer.xenlor.com "/api/users/1" [Client 192.168.1.1] [Length 159] [Gzip -] [Sent-to 192.168.1.10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0" "https://portainer.xenlor.com/"
[20/Mar/2024:11:45:54 +0000] - 200 200 - GET https portainer.xenlor.com "/api/system/nodes" [Client 192.168.1.1] [Length 12] [Gzip -] [Sent-to 192.168.1.10] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0" "https://portainer.xenlor.com/"
